fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,player,pos,tm
75.5,247.1,0.2568,42.75,124.5,0.27440000000000003,37.6,93.5,0.2515,0.254,12.0,14.850000000000001,10.0,53.5,66.0,90.5,31.499999999999996,4.5,64.0,80.60000000000001,268.09999999999997,2023,Andrew Nembhard,SG,IND
81.60000000000001,216.0,0.28319999999999995,50.7,128.05,0.3168,50.400000000000006,94.0,0.29480000000000006,0.2815,18.0,32.45,20.7,49.0,72.0,26.400000000000002,28.0,14.850000000000001,26.599999999999998,56.550000000000004,365.4,2023,Andrew Wiggins,SF,GSW
184.5,575.4,0.2694,129.0,342.0,0.30160000000000003,78.80000000000001,183.0,0.269,0.277,63.0,77.0,5.2,60.0,66.5,97.0,23.099999999999998,6.0,85.60000000000001,77.35000000000001,725.1999999999999,2023,Anfernee Simons,SG,POR
193.89999999999998,190.0,0.5246999999999999,3.3,11.4,0.1445,212.8,349.6,0.4872,0.357,128.79999999999998,178.4,72.0,194.4,266.40000000000003,28.8,21.599999999999998,45.6,45.6,61.6,524.3,2023,Anthony Davis,C,LAL
237.0,713.3,0.279,111.0,294.75,0.30160000000000003,130.4,313.0,0.2605,0.269,111.5,160.05,14.0,144.0,161.5,120.5,62.99999999999999,16.0,143.20000000000002,87.75,923.3,2023,Anthony Edwards,SG,MIN
25.8,36.0,0.44775,1.0,8.5,0.0767,24.599999999999998,33.0,0.48425,0.3055,10.0,14.399999999999999,11.4,20.8,33.15,6.800000000000001,3.0,3.25,3.75,31.499999999999996,75.6,2023,Anthony Gill,PF,WAS
43.6,107.5,0.30419999999999997,37.050000000000004,91.65,0.32320000000000004,20.8,29.6,0.38665,0.32,13.5,19.8,14.85,52.0,68.5,27.6,15.399999999999999,6.050000000000001,29.4,62.400000000000006,211.39999999999998,2023,Anthony Lamb,SF,GSW
62.0,177.79999999999998,0.2928,33.75,93.75,0.288,31.6,64.5,0.306,0.2885,47.5,58.300000000000004,9.200000000000001,44.0,55.5,40.0,14.0,7.0,39.2,39.0,271.59999999999997,2023,Austin Reaves,SG,LAL
40.5,122.49999999999999,0.2778,27.75,76.5,0.2904,17.6,36.5,0.3015,0.2845,13.0,17.05,1.2000000000000002,35.0,36.5,31.0,17.5,1.0,17.6,44.85,157.5,2023,Austin Rivers,SG,MIN
91.0,252.7,0.3024,30.0,94.5,0.2536,56.800000000000004,117.5,0.302,0.28,22.0,31.35,13.200000000000001,58.0,74.5,64.0,23.799999999999997,8.5,52.800000000000004,78.65,313.59999999999997,2023,Ayo Dosunmu,SG,CHI
