tm,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry
ATL,85.21666666666667,180.22916666666666,0.29170625,28.016666666666666,74.97291666666666,0.22750833333333334,56.65833333333333,111.71666666666665,0.2840854166666667,0.25871249999999996,39.516666666666666,51.074999999999996,22.133333333333336,73.22916666666667,96.65208333333334,49.51250000000001,16.866666666666667,9.904166666666667,28.160416666666666,44.393750000000004,277.74583333333334,766.0
BOS,65.31071428571428,145.2107142857143,0.2912464285714286,23.969642857142855,67.25714285714285,0.19720714285714286,42.92857142857143,81.01785714285714,0.2802767857142857,0.2506,28.099999999999998,37.53750000000001,19.626785714285713,64.34285714285714,85.14642857142857,38.44642857142857,14.689285714285715,11.764285714285716,28.192857142857143,37.666071428571435,231.4267857142857,1134.0
BRK,87.77916666666665,179.82083333333333,0.30341250000000003,25.129166666666666,68.47708333333334,0.21177500000000002,62.00833333333333,120.3125,0.2927104166666667,0.25742916666666665,37.77916666666667,50.1625,21.568749999999998,72.54375,95.68333333333334,48.40833333333333,16.804166666666667,12.006250000000001,33.56875,48.43958333333333,274.55,802.0
CHI,92.75454545454545,189.62727272727273,0.32700681818181815,25.022727272727273,66.88181818181819,0.18806590909090912,66.12727272727273,131.33636363636364,0.3144181818181818,0.27265,35.13636363636363,48.940909090909095,19.05454545454546,78.43181818181819,99.04772727272729,45.690909090909095,18.118181818181817,9.688636363636364,34.550000000000004,48.10454545454545,294.05909090909086,660.0
CHO,107.39473684210526,229.7052631578947,0.3291078947368421,37.044736842105266,100.91842105263159,0.1864,70.03157894736842,135.4157894736842,0.31896578947368426,0.2658947368421053,40.26315789473684,59.81315789473685,27.76842105263158,90.21052631578948,120.23947368421054,64.91052631578947,25.64736842105263,13.813157894736845,40.63157894736842,60.1342105263158,353.1973684210526,584.0
CLE,77.3,153.52692307692308,0.31872115384615385,20.95576923076923,59.46346153846154,0.16573461538461537,52.7,101.82692307692308,0.32167115384615386,0.2683615384615385,33.246153846153845,46.79807692307692,19.919230769230772,69.49807692307692,90.76346153846154,48.126923076923084,15.580769230769231,8.86923076923077,30.746153846153845,37.98076923076923,242.33653846153845,894.0
DAL,72.64074074074074,163.6074074074074,0.26837777777777777,24.961111111111112,71.2611111111111,0.18582407407407406,43.98518518518518,88.17407407407407,0.27745000000000003,0.22868518518518519,30.744444444444444,42.548148148148144,16.616666666666667,60.766666666666666,78.91296296296296,40.7037037037037,13.87037037037037,7.62037037037037,26.696296296296296,41.342592592592595,233.54259259259257,1126.0
DEN,96.41818181818181,190.62272727272727,0.3109227272727273,29.58409090909091,82.97272727272728,0.2306159090909091,66.52727272727272,120.5090909090909,0.30017727272727274,0.2718863636363636,37.02272727272727,52.28863636363637,21.277272727272727,84.26363636363637,107.15454545454546,54.6,18.181818181818183,8.763636363636364,39.87045454545454,51.64545454545455,297.00227272727267,766.0
DET,68.22592592592592,162.44074074074072,0.2589722222222222,21.237037037037037,65.26666666666667,0.18842037037037038,44.65185185185185,97.02222222222223,0.25286111111111115,0.22483703703703703,30.94814814814815,42.870370370370374,19.71666666666667,58.34814814814815,79.78888888888889,40.81481481481482,16.51111111111111,9.024074074074074,30.585185185185182,45.86666666666667,226.17222222222222,936.0
GSW,108.78235294117647,257.56470588235294,0.31121470588235295,45.78235294117647,125.70294117647057,0.22387647058823532,63.69411764705882,124.93529411764706,0.3168852941176471,0.27769411764705887,44.11176470588235,60.88529411764706,27.27058823529412,103.1029411764706,132.68235294117648,66.62941176470588,28.888235294117646,13.344117647058825,51.67058823529412,69.55,379.79705882352937,558.0
